Sample_ID,otu0110,otu0010,otu0699,otu0026,otu0123,otu0304,otu1283,otu1124,otu0057,otu2814,otu0091,otu0297,otu0069,otu0283,otu0253,otu1391,otu1817,otu1081,otu0113,otu0466,otu1670,otu0033,otu0745,otu1462,otu0163,otu0221,otu0340,otu38547,otu1343,otu2009,otu1068,otu3986,otu2981,otu0080,otu0291,otu0036,otu1160,otu2676,otu1328,otu2317,otu1522,otu2034,otu4205,otu0292,otu0402,otu0695,otu1511,otu3730,otu18047,otu8979,otu9826,otu0535,otu1156,otu1298,otu1635,otu1780,otu2304,otu2677,otu2867,otu2928,otu3047,otu3656,otu3791,otu4611,otu4818,otu5027,otu5317,otu5511,otu5993,otu6247,otu9250,otu9983,otu10037,otu12378,otu13915,otu14417,otu17082,otu24962,otu30106,otu38538,otu38578,otu38613,otu38648,otu38709,otu38715,otu38739,otu38745,otu38873,otu39011,otu39036,otu39042,otu39075,otu39079,otu39081,otu39107,otu39139,otu39181,otu39182,otu39187,otu39242,otu39245,otu39247,otu39254,otu39256,otu39260,otu39263
TAN1901-CTD15-5,46,2996,0,663,0,0,0,0,11189,0,53,0,894,0,33,0,0,0,0,23,0,4353,0,0,47,119,0,0,475,0,43,0,0,0,470,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,18,27,0,0,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD16-1,78,2533,0,495,0,0,0,0,18090,0,41,0,1602,0,0,0,0,0,0,0,0,504,0,0,19,86,0,0,501,0,56,0,0,0,83,35,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,29,0,0,0,0,6,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD16-3,64,2637,0,608,30,0,0,0,17602,0,28,9,1160,0,6,0,0,0,0,6,0,707,0,0,21,107,0,0,620,0,55,0,0,0,155,41,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,55,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD16-5,85,655,0,1116,197,0,0,0,7894,0,327,34,1786,65,68,0,7,0,37,102,0,4672,0,4,245,349,0,11,307,0,43,0,0,69,1823,122,0,0,0,28,0,0,0,97,52,0,11,0,0,0,0,773,0,0,5,15,34,0,0,0,46,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD17-1,0,3649,0,724,50,0,0,0,11802,0,100,6,2203,12,37,0,5,0,0,19,0,3671,0,0,0,319,0,0,1034,0,65,0,0,0,304,108,0,0,0,21,0,0,0,0,154,0,7,0,0,0,0,231,0,0,0,0,70,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
TAN1901-CTD17-3,0,4043,0,544,37,0,0,0,11587,0,35,0,1538,17,14,0,0,0,0,14,0,2160,0,0,0,125,0,0,815,0,93,0,0,0,210,102,0,0,0,0,0,0,0,0,61,7,0,0,0,0,0,139,0,0,0,7,33,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD17-4,0,4480,0,570,39,0,13,0,11491,0,0,0,1285,0,11,0,0,0,0,13,0,2586,0,0,0,126,0,0,664,0,52,0,0,0,260,30,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,109,0,0,0,0,17,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD18-1,0,2144,0,446,41,0,0,0,20630,0,0,0,204,0,0,0,0,0,0,0,0,574,0,0,0,54,0,0,911,0,60,0,0,30,116,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,8,0,26,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
TAN1901-CTD18-3,0,1269,0,568,61,0,0,22,17300,0,38,0,292,62,26,0,0,0,0,75,0,1278,0,5,33,67,0,0,2050,0,58,0,0,74,525,45,0,0,0,0,0,0,0,16,0,0,2,0,0,2,0,77,0,0,0,18,13,0,30,31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
TAN1901-CTD18-5,50,717,0,1243,138,0,61,93,11183,0,115,41,299,350,119,0,0,0,26,343,0,3649,23,10,199,112,0,10,1213,0,39,0,1,183,1886,167,0,0,45,7,0,0,0,159,22,33,13,0,0,0,0,459,0,0,0,0,40,0,29,0,13,0,3,0,0,15,0,0,0,0,10,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
